"Barcode","MaterialCode","MaterialName","RouteCode","WorkCenterCode","JobDate","ProdQty","CompleteRoute","ProdDateTime"
"VVQQ173R060672","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-14","497.00000","1","2026-08-14 15:32:04"
"VVQQ173R060682","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-14","497.00000","1","2026-08-14 17:42:53"
"VVQN033R072790","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","352.00000","1","2026-08-14 21:16:14"
"VVQO153R072709","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1067.99999","1","2026-08-14 16:47:47"
"VVQO153R072711","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1073.00000","1","2026-08-14 17:14:48"
"VVQO153R072719","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1073.00000","1","2026-08-14 10:17:54"
"VVQO153R072720","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1073.00000","1","2026-08-14 18:15:12"
"VVQO153R072728","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1073.00000","1","2026-08-14 18:55:11"
"VVQO163R072712","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1065.00000","1","2026-08-14 17:10:38"
"VVQO173R072718","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1067.00000","1","2026-08-14 18:34:55"
"VVQO173R072761","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1057.99937","1","2026-08-14 17:30:32"
"VVQO183R072711","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1067.00000","1","2026-08-14 18:14:49"
