"Barcode","MaterialCode","MaterialName","RouteCode","WorkCenterCode","JobDate","ProdQty","CompleteRoute","ProdDateTime"
"VVQQ123R060631","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","500.00000","1","2026-08-17 14:13:54"
"VVQQ123R060632","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","500.00000","1","2026-08-16 14:07:37"
"VVQQ123R060634","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","497.00000","1","2026-08-16 14:15:35"
"VVQQ123R060635","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","497.00000","1","2026-08-16 14:07:52"
"VVQQ123R060636","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","497.00000","1","2026-08-16 14:08:10"
"VVQQ133R060671","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","495.00000","1","2026-08-16 13:45:32"
"VVQQ133R060689","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","494.00000","1","2026-08-16 14:14:55"
"VVQQ133R060693","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","500.00000","1","2026-08-17 11:27:04"
"VVQQ133R060694","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","500.00000","1","2026-08-16 14:14:39"
"VVQQ133R060695","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","500.00000","1","2026-08-16 13:45:49"
